,Fall,MajorName,College,Total,Male,Female
371,1986.0,Agricultural & Applied Econ,ACES,423.0,363.0,60.0
372,2001.0,Horticulture,ACES,5.0,2.0,3.0
373,1986.0,Agr & Environmental Cmc & Educ,ACES,6.0,4.0,2.0
374,2001.0,HU DEV&FAM,ACES,3.0,0.0,3.0
375,2001.0,HORT -- P&M,ACES,92.0,43.0,49.0
376,2000.0,Teaching of Latin,ACES,1.0,0.0,1.0
377,2000.0,Teaching of Mathematics,ACES,2.0,1.0,1.0
378,1986.0,GEN H ECON,ACES,12.0,0.0,12.0
379,1986.0,GEN AGR,ACES,18.0,12.0,6.0
380,2001.0,Agr & Consumer Economics,ACES,326.0,223.0,103.0
381,1986.0,Forestry,ACES,64.0,47.0,17.0
382,1986.0,Food Science & Human Nutrition,ACES,218.0,69.0,149.0
383,2001.0,Agr & Environmental Cmc & Educ,ACES,133.0,49.0,84.0
384,1986.0,FAM&CON EC,ACES,16.0,7.0,9.0
385,2001.0,Agr Engineering & Agr Science,ACES,51.0,47.0,4.0
386,2001.0,Agricultural & Applied Econ,ACES,6.0,3.0,3.0
387,2001.0,Agronomy,ACES,3.0,1.0,2.0
388,2001.0,Animal Sciences,ACES,592.0,162.0,430.0
389,2001.0,CFTM-CNSMR&TXTL,ACES,116.0,17.0,99.0
390,2001.0,CFTM-MKT&PRICE,ACES,13.0,6.0,7.0
391,1986.0,EXT EDUC,ACES,17.0,8.0,9.0
392,2001.0,"CMDTY,FD,TXTL M",ACES,15.0,3.0,12.0
393,2001.0,Crop Sciences,ACES,153.0,94.0,59.0
394,2001.0,Food Science & Human Nutrition,ACES,362.0,93.0,269.0
395,2001.0,Forestry,ACES,25.0,22.0,3.0
396,1986.0,DIETETICS,ACES,81.0,4.0,77.0
397,1986.0,DAIRY SCI,ACES,46.0,33.0,13.0
398,2001.0,H DVL-FAM,ACES,1.0,0.0,1.0
399,2001.0,HDFS-CH&AD DEV,ACES,140.0,4.0,136.0
400,2001.0,HDFS-FS,ACES,75.0,6.0,69.0
401,2001.0,HORT--HORT SCI,ACES,10.0,5.0,5.0
402,2000.0,Teaching of German,ACES,1.0,1.0,0.0
403,2001.0,"Recreation, Sport, and Tourism ",ACES,106.0,81.0,25.0
404,1985.0,VOC H E ED,ACES,17.0,1.0,16.0
405,1985.0,Spanish,ACES,45.0,12.0,33.0
406,2002.0,Crop Sciences,ACES,153.0,92.0,61.0
407,1985.0,Secondary Education,ACES,47.0,16.0,31.0
408,1985.0,SOIL SCI,ACES,3.0,3.0,0.0
409,2002.0,Food Science & Human Nutrition,ACES,376.0,95.0,281.0
410,1985.0,REST MGMT,ACES,87.0,40.0,47.0
411,2002.0,Forestry,ACES,23.0,20.0,3.0
412,2002.0,HDFS-CH&AD DEV,ACES,133.0,5.0,128.0
413,2002.0,HDFS-FS,ACES,69.0,8.0,61.0
414,1985.0,Physics,ACES,390.0,351.0,39.0
415,2002.0,HORT -- P&M,ACES,65.0,25.0,40.0
416,2002.0,HORT--HORT SCI,ACES,7.0,4.0,3.0
417,1985.0,PLANT PATH,ACES,38.0,27.0,11.0
418,2002.0,HU DEV&FAM,ACES,2.0,0.0,2.0
419,1985.0,ORN HORT,ACES,62.0,31.0,31.0
420,1985.0,Nutritional Sciences,ACES,38.0,13.0,25.0
421,2002.0,Horticulture,ACES,3.0,2.0,1.0
422,2002.0,Human & Community Development,ACES,28.0,5.0,23.0
423,2002.0,IRCE-CONS EC&F,ACES,89.0,48.0,41.0
424,2002.0,IRCE-E&NR MGMT,ACES,6.0,4.0,2.0
